nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
"Základní škola Praha 7, Strossmayerovo náměstí 4",Základní škola,061389838,61389838,B00,Základní škola,Hlavní město Praha,CZ0107,Praha,U Uranie 1576,17000,1140.0,798,frantisek.rada@zs-stross.cz,,,Městská část Praha 7,2,Mgr. František Rada,2005-01-01,26736381.0,50.1065972,14.4532069,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,15
"Základní škola Zdenky Braunerové Roztoky, příspěvková organizace",Základní škola Zdenky Braunerové,000241610,70854963,B00,Základní škola,Středočeský kraj,Praha-západ,Roztoky,Kantorova 2490,25263,1025.0,717,info@zszb.cz,,,Město Roztoky,2,Mgr. Olga Janoušková,2005-01-01,84267127.0,50.1622525,14.3696676,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,16
"Základní škola Černošice, příspěvková organizace",Základní škola,102638411,61385158,B00,Základní škola,Středočeský kraj,Praha-západ,Černošice,Pod Školou 447,25228,1020.0,714,zsc@zscernos.cz,,,Město Černošice,2,Mgr. Ludmila Zhoufová,2005-01-01,6508707.0,49.9459399,14.3265261,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,17
Střední škola obchodní,Střední škola obchodní,000549185,00549185,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Belgická 250,12000,1200.0,840,sekretariat@ssob.cz,,,Hlavní město Praha,7,Ing. Ivo Krajíček,2005-01-01,21741859.0,50.0736808,14.4356339,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,18
"Střední průmyslová škola potravinářských technologií, Střední odborná škola přírodovědná a veterinární a Gymnázium, Praha 2, Podskalská 10, příspěvková organizace","SPŠ, SOŠ a G, Praha 2, Podskalská 10",000638366,61385930,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Podskalská 365,12800,1050.0,735,jakesova@podskalska.cz,,,Hlavní město Praha,7,Mgr. Václav Krámek,2005-01-01,21728801.0,50.0696723,14.4156768,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,19
"Základní škola, Praha 8, Burešova 14",Základní škola,102261202,60433345,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Burešova 1130,18200,1000.0,700,info@zsburesova.cz,,,Městská část Praha 8,2,Mgr. Bc. Ivo Mlejnecký,2005-01-01,22368531.0,50.1313362,14.4692388,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,20
Základní škola Praha - Radotín,Základní škola,102385190,70874263,B00,Základní škola,Hlavní město Praha,CZ0105,Praha,Loučanská 1112,15300,1020.0,714,kovarik@skola-radotin.cz,,,Městská část Praha 16,2,Mgr. Jiří Kovařík,2005-01-01,22055525.0,49.9801865,14.358945,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,21
"Základní škola Na Výsluní, Brandýs nad Labem - Stará Boleslav, Kostelecká 1750, okres Praha - východ",Základní škola Na Výsluní,102638489,75034549,B00,Základní škola,Středočeský kraj,Praha-východ,Brandýs nad Labem-Stará Boleslav,Kostelecká 1750,25001,1160.0,812,skola@zsnavysluni.cz,,,Město Brandýs nad Labem - Stará Boleslav,2,Mgr. Jan Přibyl,2005-01-01,14628091.0,50.1893399,14.6550298,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,22
"Základní škola Bohumila Hrabala, Praha 8, Zenklova 52",Základní škola Bohumila Hrabala,102261229,63113961,B00,Základní škola,Hlavní město Praha,CZ0108,Praha,Zenklova 26,18000,1100.0,770,zast@zs-bhrabala.cz,,,Městská část Praha 8,2,"Mgr. Bc. Matěj Rašovský, MBA",2005-01-01,22375406.0,50.1077075,14.4725773,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,23
Základní škola a mateřská škola ANGEL v Praze 12,Základní škola a mateřská škola ANGEL,049367463,49367463,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Rakovského 3136,14300,1054.0,737,cichonova@zsangel.cz,,,Městská část Praha 12,2,"PhDr. Tereza  Jedličková, Ph.D.",2005-01-01,21937931.0,50.0094812,14.4237765,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,24
Střední odborná škola Čelákovice s.r.o.,Střední odborná škola Čelákovice s.r.o.,110450469,25672592,C00,Střední škola,Středočeský kraj,Praha-východ,Čelákovice,U Učiliště 1379,25088,1950.0,1365,srimpl@soscelakovice.cz,,,,5,"PhDr. Andrea Cibulková, Ph.D., MBA",2005-01-01,12712841.0,50.1595538,14.7420275,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,25
"Gymnázium, Příbram, Legionářů 402",Gymnázium,000068926,61100226,C00,Střední škola,Středočeský kraj,Příbram,Příbram,Balbínova 328,26101,1300.0,909,benes@gympb.cz,,,Středočeský kraj,7,Mgr. Miloslava Šmolíková,2005-01-01,22992626.0,49.6886919,14.0186036,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,26
"Střední odborná škola a Střední odborné učiliště řemesel, Kutná Hora, Čáslavská 202",SOŠ a SOU řemesel,110036778,00509965,C00,Střední škola,Středočeský kraj,Kutná Hora,Kutná Hora,Seifertovy sady 20,28401,1086.0,760,vavrinec@soskh.cz,,,Středočeský kraj,7,Ing. Josef Vavřinec,2005-01-01,11419865.0,49.9547359,15.2663031,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,27
"Střední odborná škola a Střední odborné učiliště, Beroun - Hlinky, Okružní 1404",SOŠ a SOU,000664740,00664740,C00,Střední škola,Středočeský kraj,Beroun,Beroun,Okružní 1404,26601,1650.0,1155,skola@soshlinky.cz,,,Středočeský kraj,7,Mgr. Jiří Perlinger,2005-01-01,5939658.0,49.9651249,14.0641066,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,28
"Střední odborná škola a Střední odborné učiliště, Mladá Boleslav, Jičínská 762",SOŠ a SOU,110451066,69793000,C00,Střední škola,Středočeský kraj,Mladá Boleslav,Mladá Boleslav,Jičínská 762,29301,1050.0,735,slegl@odbskmb.cz,,,Středočeský kraj,7,RNDr. Bc. Jiří Šlégl,2005-01-01,21260885.0,50.4092055,14.9325954,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,29
"Akademie pedagogiky, sociální činnosti a hotelnictví - Střední odborná škola, s.r.o.","Akademie ped., soc. a hot. - SOŠ, s.r.o.",110450680,25700901,C00,Střední škola,Středočeský kraj,Jihlava,Jihlava,Čajkovského 661,58601,2600.0,1819,sosmap@seznam.cz,,,,5,JUDr. Emil Ščuka,2005-01-01,12336564.0,49.3933249,15.5933876,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,30
"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614",Základní škola a mateřská škola,102073368,63831333,B00,Základní škola,Hlavní město Praha,CZ0103,Praha,Žerotínova 1100,13000,1050.0,735,hrebenova@chelcickeho.cz,,,Městská část Praha 3,2,PhDr. Pavel Ostap,2005-01-01,21778213.0,50.087738,14.4623408,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,31
"Střední odborná škola a Střední odborné učiliště, Neratovice, Školní 664",SOŠ a SOU,110450639,68383495,C00,Střední škola,Středočeský kraj,Mělník,Neratovice,Školní 664,27711,1066.0,746,hrejsova.marcela@sosasou.cz,,,Středočeský kraj,7,Ing. Marcela Hrejsová,2005-01-01,6244599.0,50.2558888,14.5196125,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,32
Střední škola gastronomie,Střední škola gastronomie,041190726,41190726,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,U krbu 521,10800,1100.0,770,MrvovaK@ssgukrbu.cz,,,Hlavní město Praha,7,Mgr. Kateřina Mrvová,2005-01-01,22591001.0,50.0842415,14.4941673,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,33
"PORG - gymnázium, základní škola a mateřská škola, o.p.s.","PORG - gymnázium, ZŠ a MŠ, o.p.s.",000550591,25698117,C00,Střední škola,Hlavní město Praha,Brno-město,Brno,Mendlovo náměstí 1,60300,2694.0,1885,dluhosova@porg.cz,,,,5,PaedDr. Dagmar Dluhošová,2005-01-01,19101694.0,49.1910514,16.596357,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,34
Základní škola Meteorologická,Základní škola,102101132,60437910,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Meteorologická 181,14200,1000.0,700,reditel@zsmeteo.cz,,,Městská část Praha - Libuš,2,PhDr. Alexandros Charalambidis,2005-01-01,21897328.0,50.0046331,14.4560625,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,35
"Základní škola s rozšířenou výukou jazyků, Praha 4, K Milíčovu 674",ZŠ s rozšířenou výukou jazyků,102101701,61388424,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,K Milíčovu 674,14900,1090.0,763,kulikj@zsmilicov.cz,,,Městská část Praha 11,2,Mgr. Jaroslav Kulik,2005-01-01,21820121.0,50.0281809,14.5355526,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,36
Střední škola podnikání a gastronomie,Střední škola podnikání a gastronomie,000563722,49629077,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Za černým mostem 362,19800,1130.0,791,sougastropraha9@seznam.cz,,,Hlavní město Praha,7,Ing. Ivana Čutová,2005-01-01,22423125.0,50.1094962,14.5556419,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,37
"Základní škola, Praha 4, Květnového vítězství 1554",Základní škola,102113041,47611863,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Květnového vítězství 1554,14900,1350.0,944,pavel.kopecny@kvetnak.cz,,,Městská část Praha 11,2,Mgr. Pavel Kopečný,2005-01-01,21841080.0,50.035097,14.5169983,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,38
Střední odborná škola Jarov,Střední odborná škola Jarov,000300268,00300268,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Pod Táborem 17,19000,1700.0,1190,sekret@skolajarov.cz,,,Hlavní město Praha,7,Mgr. Miloslav Janeček,2005-01-01,22500600.0,50.0891736,14.5150949,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,39
"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",Základní škola Václava Havla,047528800,61631485,B00,Základní škola,Středočeský kraj,Nymburk,Poděbrady,Na Valech 45,29001,1080.0,756,info@zsvaclavahavla.cz,,,Město Poděbrady,2,Mgr. Vlastimil Špinka,2005-01-01,18328903.0,50.1452337,15.1154143,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,40
"Základní škola Campanus, Praha 4, Jírovcovo náměstí 1782",Základní škola Campanus,048132306,48132306,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Jírovcovo náměstí 1782,14800,1100.0,770,central@campanus.cz,,,Městská část Praha 11,2,"Mgr. Lenka Derková, MBA",2005-01-01,21843392.0,50.0242026,14.4919964,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,41
"PORG - gymnázium, základní škola a mateřská škola, o.p.s.","PORG - gymnázium, ZŠ a MŠ, o.p.s.",151040290,25698117,B00,Základní škola,Hlavní město Praha,Ostrava-město,Ostrava,Rostislavova 1267,70300,1149.0,804,dluhosova@porg.cz,,,,5,PaedDr. Dagmar Dluhošová,2008-01-21,25219499.0,49.8107763,18.2552154,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,42
"Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8","Českoslovanská AO Dr. E. Beneše, SOŠ",000638463,00638463,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Resslova 1780,12000,1550.0,1085,cao8@cao8.cz,,,Hlavní město Praha,7,Ing. Dagmar Krutská,2005-01-01,21733899.0,50.0756606,14.4166803,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,43
"Základní škola Juventa, příspěvková organizace, Komenského 578, Milovice - Mladá",Základní škola Juventa,181047918,21551472,B00,Základní škola,Středočeský kraj,Nymburk,Milovice,Komenského 578,28924,1500.0,1050,reditel@zsjuventa.cz,,,Město Milovice,2,Mgr. Jaroslav Minařík,2013-07-02,70520917.0,50.2268479,14.8664584,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,44
"Střední škola pedagogiky, cestovního ruchu a gastronomie Příbram, příspěvková organizace","SŠ pedagogiky, cestovního ruchu a gastronomie",108051692,00508268,C00,Střední škola,Středočeský kraj,Příbram,Příbram,Gen. R. Tesaříka 114,26101,1100.0,770,vrseckan@isspb.cz,,,Středočeský kraj,7,Mgr. Naďa Vršecká,2005-01-01,22987274.0,49.6903124,14.0116738,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,45
"Základní škola a Mateřská škola Dr. Edvarda Beneše, Praha-Čakovice",ZŠ a MŠ Dr. Edvarda Beneše,102301689,70918805,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,náměstí Jiřího Berana 500,19600,1766.0,1236,zscakovice@zscakovice.cz,,,Městská část Praha - Čakovice,2,Mgr. Martin Střelec,2005-01-01,22409505.0,50.1504971,14.5261087,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,46
"Střední odborná škola automobilní, informatiky a Gymnázium","SOŠ automobilní, informatiky a gymnázium",000497070,00497070,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Dobronická 47,14200,1400.0,979,mailbox@skolahostivar.cz,,,Hlavní město Praha,7,Ing. Milan Vorel,2005-01-01,21895554.0,50.0092655,14.4631838,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,47
Základní škola Novoborská,Základní škola,045245525,61381276,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Novoborská 371,19000,1150.0,805,skola@novoborska.cz,,,Městská část Praha 9,2,Ing. Tereza Štaubrová,2005-01-01,22516743.0,50.1277102,14.4979022,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,48
Střední odborná škola - Centrum odborné přípravy a Gymnázium,Střední odborná škola - COP a Gymnázium,130002381,14891212,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Poděbradská 179,19000,2000.0,1400,lezal@copth.cz,,,Hlavní město Praha,7,Mgr. Josef Ležal,2005-01-01,22542043.0,50.1021163,14.5039571,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,49
Základní škola Praha - Kbely,Základní škola,102301727,61384780,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Albrechtická 598,19700,1050.0,735,info@skola-kbely.cz,,,Městská část Praha 19,2,Mgr. Eva Kulichová,2005-01-01,22464514.0,50.1339447,14.5451549,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,50
"Masarykova základní škola, Praha 9 - Újezd nad Lesy, Polesná 1690",Masarykova základní škola,047608579,47608579,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Polesná 1690,19016,1150.0,805,skala@zspolesna.cz,,,Městská část Praha 21,2,Mgr. Libor Skala,2005-01-01,22690212.0,50.0783678,14.6539932,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,51
"Základní škola, Nerudova 9, České Budějovice",Základní škola,107720299,62537784,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,Čéčova 2092,37004,1170.0,819,zdenek.srom@zsnerudova.cz,,,Statutární město České Budějovice,2,Mgr. Zdeněk Šrom,2005-01-01,23376767.0,48.9863115,14.4652937,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,52
"Základní škola a základní umělecká škola, Bezdrevská 3, České Budějovice",Základní škola a Základní umělecká škola,000666131,00666131,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,Bezdrevská 1036,37011,1080.0,756,zs@zsvltava.cz,,,Statutární město České Budějovice,2,Mgr. et Mgr. Martin Štoudek,2005-01-01,23352604.0,48.9925028,14.4520089,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,53
"Střední odborná škola a Střední odborné učiliště, Písek, Komenského 86","SOŠ a SOU, Písek, Komenského 86",108054021,00511382,C00,Střední škola,Jihočeský kraj,Písek,Písek,Samoty 2124,39701,1429.0,1000,sybkova@sou-pi.cz,,,Jihočeský kraj,7,Ing. Zuzana Sýbková,2005-01-01,5542685.0,49.3192874,14.1627148,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,54
"Vyšší odborná škola, Střední průmyslová škola automobilní a technická, České Budějovice, Skuherského 3","VOŠ, SPŠ automobilní a technická",110150031,00582158,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Lidická tř. 171,37001,1940.0,1358,hart@spsautocb.cz,,,Jihočeský kraj,7,"Ing. Mgr. Petr Hart, DiS.",2005-01-01,25163361.0,48.9527951,14.4672677,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,55
"Základní škola a Mateřská škola Tábor, Helsinská 2732",Základní škola a Mateřská škola,107722828,70877785,B00,Základní škola,Jihočeský kraj,Tábor,Tábor,Helsinská 2732,39005,1000.0,700,hersalkova@zshelsinska.cz,,,Město Tábor,2,PaedDr. Alena Heršálková,2005-01-01,19822448.0,49.3864211,14.6894994,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,56
"Biskupské gymnázium J. N. Neumanna, církevní základní škola a základní umělecká škola České Budějovice","Biskup. gymn. J.N.N., církevní ZŠ a ZUŠ",000666122,00666122,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Žižkova tř. 250,37001,1040.0,728,czs@bigy-cb.cz,,,Biskupství českobudějovické,6,"Ing. Martin Maršík, Ph.D.",2005-01-01,23401982.0,48.9723428,14.4795777,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,57
