rank,nazev,obec,okres,kraj,pocet_zaku,email,telefon,web,score_total,priorita,pristup,pristup_label,dotace_had,dotace_last_year,score_dotace,score_size,score_vz_gap,score_region,score_competition
19,"Střední průmyslová škola potravinářských technologií, Střední odborná škola přírodovědná a veterinární a Gymnázium, Praha 2, Podskalská 10, příspěvková organizace",Praha,CZ0102,Hlavní město Praha,735,jakesova@podskalska.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
20,"Základní škola, Praha 8, Burešova 14",Praha,CZ0108,Hlavní město Praha,700,info@zsburesova.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
21,Základní škola Praha - Radotín,Praha,CZ0105,Hlavní město Praha,714,kovarik@skola-radotin.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
22,"Základní škola Na Výsluní, Brandýs nad Labem - Stará Boleslav, Kostelecká 1750, okres Praha - východ",Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj,812,skola@zsnavysluni.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
23,"Základní škola Bohumila Hrabala, Praha 8, Zenklova 52",Praha,CZ0108,Hlavní město Praha,770,zast@zs-bhrabala.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
24,Základní škola a mateřská škola ANGEL v Praze 12,Praha,CZ0104,Hlavní město Praha,737,cichonova@zsangel.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
25,Střední odborná škola Čelákovice s.r.o.,Čelákovice,Praha-východ,Středočeský kraj,1365,srimpl@soscelakovice.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
26,"Gymnázium, Příbram, Legionářů 402",Příbram,Příbram,Středočeský kraj,909,benes@gympb.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
27,"Střední odborná škola a Střední odborné učiliště řemesel, Kutná Hora, Čáslavská 202",Kutná Hora,Kutná Hora,Středočeský kraj,760,vavrinec@soskh.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
28,"Střední odborná škola a Střední odborné učiliště, Beroun - Hlinky, Okružní 1404",Beroun,Beroun,Středočeský kraj,1155,skola@soshlinky.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
29,"Střední odborná škola a Střední odborné učiliště, Mladá Boleslav, Jičínská 762",Mladá Boleslav,Mladá Boleslav,Středočeský kraj,735,slegl@odbskmb.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
30,"Akademie pedagogiky, sociální činnosti a hotelnictví - Střední odborná škola, s.r.o.",Jihlava,Jihlava,Středočeský kraj,1819,sosmap@seznam.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
31,"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614",Praha,CZ0103,Hlavní město Praha,735,hrebenova@chelcickeho.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
32,"Střední odborná škola a Střední odborné učiliště, Neratovice, Školní 664",Neratovice,Mělník,Středočeský kraj,746,hrejsova.marcela@sosasou.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
33,Střední škola gastronomie,Praha,CZ010A,Hlavní město Praha,770,MrvovaK@ssgukrbu.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
34,"PORG - gymnázium, základní škola a mateřská škola, o.p.s.",Brno,Brno-město,Hlavní město Praha,1885,dluhosova@porg.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
35,Základní škola Meteorologická,Praha,CZ0104,Hlavní město Praha,700,reditel@zsmeteo.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
36,"Základní škola s rozšířenou výukou jazyků, Praha 4, K Milíčovu 674",Praha,CZ0104,Hlavní město Praha,763,kulikj@zsmilicov.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
37,Střední škola podnikání a gastronomie,Praha,CZ0109,Hlavní město Praha,791,sougastropraha9@seznam.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
38,"Základní škola, Praha 4, Květnového vítězství 1554",Praha,CZ0104,Hlavní město Praha,944,pavel.kopecny@kvetnak.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
39,Střední odborná škola Jarov,Praha,CZ0109,Hlavní město Praha,1190,sekret@skolajarov.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
40,"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",Poděbrady,Nymburk,Středočeský kraj,756,info@zsvaclavahavla.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
41,"Základní škola Campanus, Praha 4, Jírovcovo náměstí 1782",Praha,CZ0104,Hlavní město Praha,770,central@campanus.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
42,"PORG - gymnázium, základní škola a mateřská škola, o.p.s.",Ostrava,Ostrava-město,Hlavní město Praha,804,dluhosova@porg.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
43,"Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8",Praha,CZ0102,Hlavní město Praha,1085,cao8@cao8.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
44,"Základní škola Juventa, příspěvková organizace, Komenského 578, Milovice - Mladá",Milovice,Nymburk,Středočeský kraj,1050,reditel@zsjuventa.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
45,"Střední škola pedagogiky, cestovního ruchu a gastronomie Příbram, příspěvková organizace",Příbram,Příbram,Středočeský kraj,770,vrseckan@isspb.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
46,"Základní škola a Mateřská škola Dr. Edvarda Beneše, Praha-Čakovice",Praha,CZ0109,Hlavní město Praha,1236,zscakovice@zscakovice.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
47,"Střední odborná škola automobilní, informatiky a Gymnázium",Praha,CZ010A,Hlavní město Praha,979,mailbox@skolahostivar.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
48,Základní škola Novoborská,Praha,CZ0109,Hlavní město Praha,805,skola@novoborska.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
49,Střední odborná škola - Centrum odborné přípravy a Gymnázium,Praha,CZ0109,Hlavní město Praha,1400,lezal@copth.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
50,Základní škola Praha - Kbely,Praha,CZ0109,Hlavní město Praha,735,info@skola-kbely.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
51,"Masarykova základní škola, Praha 9 - Újezd nad Lesy, Polesná 1690",Praha,CZ0109,Hlavní město Praha,805,skala@zspolesna.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
52,"Základní škola, Nerudova 9, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,819,zdenek.srom@zsnerudova.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
53,"Základní škola a základní umělecká škola, Bezdrevská 3, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,756,zs@zsvltava.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
54,"Střední odborná škola a Střední odborné učiliště, Písek, Komenského 86",Písek,Písek,Jihočeský kraj,1000,sybkova@sou-pi.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
55,"Vyšší odborná škola, Střední průmyslová škola automobilní a technická, České Budějovice, Skuherského 3",České Budějovice,České Budějovice,Jihočeský kraj,1358,hart@spsautocb.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
56,"Základní škola a Mateřská škola Tábor, Helsinská 2732",Tábor,Tábor,Jihočeský kraj,700,hersalkova@zshelsinska.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
57,"Biskupské gymnázium J. N. Neumanna, církevní základní škola a základní umělecká škola České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,728,czs@bigy-cb.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
58,"Střední škola obchodu, služeb a řemesel a Jazyková škola s právem státní jazykové zkoušky, Tábor, Bydlinského 2474",Tábor,Tábor,Jihočeský kraj,979,podatelna@ssjs-tabor.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
59,"Střední škola obchodní, České Budějovice, Husova 9",České Budějovice,České Budějovice,Jihočeský kraj,1050,sekretariat@sso.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
60,"Vyšší odborná škola, Střední průmyslová škola a Střední odborná škola řemesel a služeb, Strakonice, Zvolenská 934",Strakonice,Strakonice,Jihočeský kraj,700,pilecek@ssst.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
61,"Základní škola Máj II, M. Chlajna 23, České Budějovice",České Budějovice,České Budějovice,Jihočeský kraj,875,kancelar@zsmaj2.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
62,"Střední škola polytechnická, České Budějovice, Nerudova 59",České Budějovice,České Budějovice,Jihočeský kraj,700,sekretariat@sspcb.cz,,,58.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,13.5,5.0
63,"Základní škola T. G. Masaryka Poděbrady, Školní 556, okres Nymburk",Poděbrady,Nymburk,Středočeský kraj,651,sykora@zstgmpodebrady.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
64,"Základní škola s rozšířenou výukou jazyků, Praha 4, Filosofská 3, příspěvková organizace",Praha,CZ0104,Hlavní město Praha,525,skola@zsfilosofska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
65,"Základní škola, Praha 4, Jižní IV., 10",Praha,CZ0104,Hlavní město Praha,574,reditel@zsjizni.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
66,"Základní škola Bělá pod Bezdězem, příspěvková organizace",Bělá pod Bezdězem,Mladá Boleslav,Středočeský kraj,560,zs@zsbela.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
67,"Gymnázium, Praha 7, Nad Štolou 1",Praha,CZ0107,Hlavní město Praha,672,dana.tvrska@gymstola.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
68,"Sportovní gymnázium, Kladno, Plzeňská 3103",Kladno,Kladno,Středočeský kraj,503,sgagy@volny.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
69,Gymnázium bratří Čapků a První české soukromé střední odborné učiliště s.r.o.,Praha,CZ010A,Hlavní město Praha,602,skola@gbc-pcssou.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
70,"Základní škola Neratovice, 28. října 1157, okres Mělník",Neratovice,Mělník,Středočeský kraj,672,info@3zsneratovice.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
71,"ART ECON - Gymnázium a Střední odborná škola Praha, s.r.o.",Praha,CZ0108,Hlavní město Praha,599,praha@artecon.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
72,Střední průmyslová škola na Proseku,Praha,CZ0109,Hlavní město Praha,503,sps-prosek@sps-prosek.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
73,"Gymnázium, Praha 10, Voděradská 2",Praha,CZ010A,Hlavní město Praha,510,info@gymvod.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
74,"Základní škola Kralupy nad Vltavou, Gen. Klapálka 1029, okres Mělník, příspěvková organizace",Kralupy nad Vltavou,Mělník,Středočeský kraj,553,michaela.gleichova@zsgenklapalka.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
75,Základní škola generála Františka Fajtla DFC,Praha,CZ0109,Hlavní město Praha,567,reditelna@zsfajtla.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
76,"ŠKOLA EU PRAHA, střední odborná škola a gymnázium",Praha,CZ0109,Hlavní město Praha,651,skola@skolaeupraha.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
77,Střední zdravotnická škola,Praha,CZ010A,Hlavní město Praha,539,sekretariat@szs-ruska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
78,"Základní škola Mladá Boleslav, Václavkova 1082, příspěvková organizace",Mladá Boleslav,Mladá Boleslav,Středočeský kraj,609,zs7mb@seznam.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
79,"Gymnázium, Praha 9, Českolipská 373",Praha,CZ0109,Hlavní město Praha,503,info@ceskolipska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
80,"Základní škola, Základní umělecká škola a Mateřská škola, Stochov",Stochov,Kladno,Středočeský kraj,584,sekretariat@zsstochov.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
81,"Základní škola Dr. Edvarda Beneše Mladá Boleslav, Laurinova 905, příspěvková organizace",Mladá Boleslav,Mladá Boleslav,Středočeský kraj,595,skola@zsbenese.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
82,"Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 4, 5. května 51",Praha,CZ0104,Hlavní město Praha,644,sekretariat@szs5kvetna.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
83,Základní škola a mateřská škola Na Beránku v Praze 12,Praha,CZ0104,Hlavní město Praha,557,naberanku@naberanku.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
84,"Střední škola hotelnictví a gastronomie SČMSD Praha, s.r.o.",Praha,CZ0109,Hlavní město Praha,510,jurikova@hotelova-skola.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
85,"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",Praha,CZ01100,Hlavní město Praha,525,skola@hostynska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
86,"Základní škola a Mateřská škola Nymburk, Komenského 589 - příspěvková organizace",Nymburk,Nymburk,Středočeský kraj,567,info@zs-komenskeho.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
87,"TRIVIS - Střední škola veřejnoprávní a Vyšší odborná škola prevence kriminality a krizového řízení Praha, s.r.o.",Praha,CZ0108,Hlavní město Praha,630,praha@trivis.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
88,"Střední škola Futurum, s.r.o.",Praha,CZ010A,Hlavní město Praha,539,katerina.ondrackova@spgsfuturum.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
89,Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.,Praha,CZ0108,Hlavní město Praha,518,praha@1kspa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
90,"Základní škola, Praha 4, Mikulova 1594",Praha,CZ0104,Hlavní město Praha,503,pacherova@zsmikulova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
91,"Soukromá střední odborná škola a Soukromé střední odborné učiliště BEAN, s.r.o.",Praha,CZ01100,Hlavní město Praha,560,dostal@bean.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
92,"Základní škola, Praha 4, Donovalská 1684",Praha,CZ0104,Hlavní město Praha,595,info@donovalskazs.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
93,"Základní škola J. A. Komenského Lysá nad Labem, Komenského 1534, okres Nymburk",Lysá nad Labem,Nymburk,Středočeský kraj,534,info@zsjaklysa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
94,"Základní škola U Krčského lesa, Praha 4, Jánošíkova 1320",Praha,CZ01100,Hlavní město Praha,532,skola@zsukrcskeholesa.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
95,"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121",Praha,CZ0103,Hlavní město Praha,507,skola@lobkovicovo.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
96,"Základní škola, Praha 4, Jílovská 1100",Praha,CZ0104,Hlavní město Praha,525,reditel@zsjilovska.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
97,"Základní škola Slaný, Rabasova 821, okres Kladno",Slaný,Kladno,Středočeský kraj,525,reditel@3zsslany.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
98,"Střední zemědělská škola a Střední odborné učiliště Čáslav, příspěvková organizace",Čáslav,Kutná Hora,Středočeský kraj,688,hornicek@szescaslav.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
99,Základní škola Unhošť,Unhošť,Kladno,Středočeský kraj,553,zsunhost@zsunhost.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
100,"Základní škola s rozšířenou výukou tělesné výchovy, Praha 4, Jitřní 185, příspěvková organizace",Praha,CZ0104,Hlavní město Praha,546,skola@zsjitrni.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
101,"Základní škola Benešov, Dukelská 1818",Benešov,Benešov,Středočeský kraj,693,zsben@zsben.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
102,"Základní škola Benešov, Jiráskova 888",Benešov,Benešov,Středočeský kraj,574,zsjiraskova@seznam.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
103,"Střední odborná škola a Střední odborné učiliště, Dubno",Dubno,Příbram,Středočeský kraj,560,reditel@dubno.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
104,"Základní škola Kladno, Brjanská 3078",Kladno,Kladno,Středočeský kraj,560,zs12@12zskladno.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
105,"Základní škola, Praha 10, Veronské náměstí 391",Praha,CZ010A,Hlavní město Praha,585,zsvn@zsvn.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
106,"Základní škola, Praha 3, Jeseniova 96/2400",Praha,CZ0103,Hlavní město Praha,641,reditelka@zsjeseniova.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
107,"Základní škola Vorlina Vlašim, příspěvková organizace",Vlašim,Benešov,Středočeský kraj,567,kancelar@zsvorlina.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
108,"Základní škola Sídliště Vlašim, příspěvková organizace",Vlašim,Benešov,Středočeský kraj,546,reditel@zssidliste.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
109,"Základní škola a Mateřská škola Kladno, Vodárenská 2116",Kladno,Kladno,Středočeský kraj,525,8.zskladno@seznam.cz,,,57.5,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,22.5,15.0,15.0,5.0
