nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
Základní škola Bernarda Bolzana obecně prospěšná společnost,Základní škola Bernarda Bolzana o.p.s.,110036271,65018711,B00,Základní škola,Jihočeský kraj,Tábor,Tábor,Školní nám. 199,39001,235.0,164,info@skolabolzano.cz,,,,5,Mgr. Zdeněk Trska,2005-01-01,19798814.0
Církevní základní škola ORBIS-PICTUS,Církevní základní škola ORBIS-PICTUS,060064161,25159577,B00,Základní škola,Jihočeský kraj,Tábor,Tábor,Budějovická 825,39002,145.0,101,orbis.pictus@atlas.cz,,,Římskokatolická farnost Tábor,6,Mgr. Ing. Karel Dušek,2005-01-01,19804164.0
"Soukromá základní škola a mateřská škola Adélka, o.p.s.","Soukromá ZŠ a MŠ Adélka, o.p.s.",110100221,25221272,B00,Základní škola,Plzeňský kraj,Domažlice,Meclov,None 5,34601,75.0,52,skolaadelka@seznam.cz,,,,5,Mgr. Vladislav Halík,2005-01-01,6820409.0
"ZÁKLADNÍ ŠKOLA MARTINA LUTHERA, s.r.o.","ZŠ MARTINA LUTHERA,s.r.o.",064353290,49193490,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Školní náměstí 34,31800,320.0,224,mvrsecky@sml.cz,,,,5,Mgr. Robert Hendrich,2005-01-01,24557714.0
"Soukromá základní škola ELEMENTÁRIA, s.r.o.","Soukr. základní škola ELEMENTÁRIA,s.r.o.",110034015,25214047,B00,Základní škola,Plzeňský kraj,Plzeň-město,Plzeň,Žlutická 1694,32300,150.0,105,info@elementaria.cz,,,,5,PaedDr. Eva Růžičková,2005-01-01,24431737.0
Základní škola svaté Zdislavy,Základní škola svaté Zdislavy,108006018,16389999,B00,Základní škola,Liberecký kraj,Jablonec nad Nisou,Jablonec nad Nisou,Saskova 2080,46601,180.0,125,sekretariat@zszdislavy.cz,,,Biskupství litoměřické,6,Mgr. Hana Antonínová Hegerová,2005-01-01,19857691.0
Křesťanská základní škola a mateřská škola J. A. Komenského,Křesťanská ZŠ a MŠ J. A. Komenského,110018141,44223897,B00,Základní škola,Liberecký kraj,Liberec,Liberec,Růžodolská 118,46001,225.0,157,info@sjak.cz,,,Jednota bratrská,6,Mgr. Jakub Pabián,2005-01-01,23693835.0
LINGUA UNIVERSAL soukromá základní škola a mateřská škola s.r.o.,LINGUA UNIVERSAL soukr. ZŠ a MŠ s.r.o.,108043762,25018515,B00,Základní škola,Ústecký kraj,Litoměřice,Litoměřice,Sovova 480,41201,205.0,143,jezek001@centrum.cz,,,,5,Ing. Blanka Svobodová,2005-01-01,2900122.0
"Sportovní soukromá základní škola, s.r.o.","Sportovní soukromá ZŠ, s.r.o.",102441073,25013513,B00,Základní škola,Ústecký kraj,Most,Litvínov,Podkrušnohorská 1677,43601,560.0,392,reditel@sszslitvinov.cz,,,,5,Mgr. Petr Lovaš,2005-01-01,5162653.0
"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov","Biskupské gymnázium, ZŠ a MŠ Bohosudov",108019578,70901619,C00,Střední škola,Ústecký kraj,Teplice,Krupka,Koněvova 100,41742,300.0,210,info@bgbzs.cz,,,Biskupství litoměřické,6,Mgr. Jakub Wiedner,2005-01-01,26029901.0
"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov","Biskupské gymnázium, ZŠ a MŠ Bohosudov",108037738,70901619,B00,Základní škola,Ústecký kraj,Teplice,Krupka,Koněvova 34,41742,240.0,168,info@bgbzs.cz,,,Biskupství litoměřické,6,Mgr. Jakub Wiedner,2005-01-01,
Základní škola TALENT Hradec Králové s.r.o.,Základní škola TALENT Hradec Králové s.r.o.,043475621,25262092,B00,Základní škola,Královéhradecký kraj,Hradec Králové,Hradec Králové,Vocelova 1334,50002,180.0,125,zdenek.kratochvil@skolytalent.cz,,,,5,Mgr. Zdeněk Kratochvíl,2005-01-01,23896353.0
"Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou","Základní škola Mozaika, o.p.s.",000191817,25918125,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Rychnov nad Kněžnou,U Stadionu 1166,51601,150.0,105,info@zsmozaika.info,,,,5,Mgr. Kamila Zemanová Stieberová,2005-01-01,9851992.0
Církevní základní škola Borohrádek,Církevní základní škola,042887941,42887941,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Borohrádek,Nádražní 233,51724,85.0,59,cirkevniskolaborohradek@seznam.cz,,,Biskupství královéhradecké,6,Mgr. Jitka Kadrmasová,2005-01-01,21511811.0
Základní škola a Mateřská škola Trivium Plus o.p.s.,ZŠ a MŠ Trivium Plus o.p.s.,108024181,64829804,B00,Základní škola,Královéhradecký kraj,Rychnov nad Kněžnou,Dobřany,None 2,51801,250.0,175,trivium@trivium.cz,,,,5,Mgr. Jan Grulich,2005-01-01,9723722.0
Soukromá základní škola Lesná s.r.o.,Soukromá základní škola Lesná s.r.o.,041565690,25324233,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Marie Steyskalové 315,61600,85.0,59,dagmar.dostalova@szslesna.cz,,,,5,Mgr. Jana Malimánková,2005-01-01,19577567.0
Soukromá mateřská škola a základní škola s.r.o.,Soukromá MŠ a ZŠ s.r.o.,049486101,25330012,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Rozmarýnová 676,63700,90.0,62,skola@rozmarynova.cz,,,,5,Mgr. Radomír Prokop,2005-01-01,19367392.0
"Základní škola a Mateřská škola Pramínek, o. p. s.","ZŠ a MŠ Pramínek, o.p.s.",110300238,25348221,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Heyrovského 610,63500,225.0,157,praminek@praminek.cz,,,,5,Mgr. Helena Hlouchová,2005-01-01,19313381.0
"Cyrilometodějská církevní základní škola, Lerchova 65, Brno",Cyrilometodějská církevní základní škola,000402443,00402443,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Lerchova 344,60200,575.0,402,skola@cmczs.cz,,,Česká provincie kongregace sester sv. Cyrila a Metoděje,6,Mgr. Pavlína Vojtěchová,2005-01-01,19154992.0
Církevní základní škola a mateřská škola ve Zlíně,Církevní ZŠ a MŠ ve Zlíně,049157841,49157841,B00,Základní škola,Zlínský kraj,Zlín,Zlín,Česká 4787,76005,250.0,175,czs@czszlin.cz,,,Arcibiskupství olomoucké,6,Mgr. Michaela Černošková,2005-01-01,4250672.0
Křesťanská základní škola Jihlava,Křesťanská základní škola Jihlava,110009274,65766695,B00,Základní škola,Kraj Vysočina,Jihlava,Jihlava,náměstí Svobody 1369,58601,360.0,251,glosslova@krestanka.cz,,,Biskupství brněnské,6,Mgr. Šárka Glösslová,2005-01-01,12342939.0
"Academic School, Mateřská škola, základní škola a střední škola, s.r.o.","Academic School, MŠ, ZŠ a SŠ, s.r.o.",181134799,25349520,C00,Střední škola,Zlínský kraj,Uherské Hradiště,Uherské Hradiště,Města Mayen 1536,68601,80.0,56,academicschool@academicschool.cz,,,,5,PhDr. Věra Olšáková,2023-03-03,40657281.0
"Academic School, Mateřská škola, základní škola a střední škola, s.r.o.","Academic School, MŠ, ZŠ a SŠ, s.r.o.",110009312,25349520,B00,Základní škola,Zlínský kraj,Uherské Hradiště,Uherské Hradiště,Studentské náměstí 1531,68601,200.0,140,academicschool@academicschool.cz,,,,5,PhDr. Věra Olšáková,2005-01-01,27459390.0
"Základní škola AMOS, školská právnická osoba","Základní škola AMOS, školská práv. osoba",108012671,25830635,B00,Základní škola,Moravskoslezský kraj,Bruntál,Bruntál,Cihelní 1620,79201,80.0,56,zsamos@seznam.cz,,,Mgr. Olga Grossmannová,5,Mgr. Petr Novotný,2005-01-01,2835029.0
Základní škola svaté Zdislavy Kopřivnice,Základní škola svaté Zdislavy,108046184,49588656,B00,Základní škola,Moravskoslezský kraj,Nový Jičín,Kopřivnice,Štefánikova 117,74221,250.0,175,pavel.janek@zdislava.net,,,Biskupství ostravsko - opavské,6,Ing. Pavel Janek,2005-01-01,8449261.0
Základní škola sv. Voršily v Olomouci,Základní škola sv. Voršily v Olomouci,049588095,49588095,B00,Základní škola,Olomoucký kraj,Olomouc,Olomouc,Aksamitova 707,77900,275.0,192,info@zcsol.cz,,,Sestry voršilky Římské unie,6,Mgr. Zdeněk Navrátil,2005-01-01,23324422.0
Církevní základní škola svaté Ludmily v Hradci nad Moravicí,Církevní základní škola svaté Ludmily,108035913,00849821,B00,Základní škola,Moravskoslezský kraj,Opava,Opava,Slavkovská 140,74707,250.0,175,skola@czs-hradec.cz,,,Biskupství ostravsko - opavské,6,Ing. Tomáš Honěk,2005-01-01,24366161.0
"Soukromá základní škola, spol. s r.o.","Soukromá základní škola, spol. s r.o.",060340151,25368702,B00,Základní škola,Moravskoslezský kraj,Ostrava-město,Ostrava,Rostislavova 1267,70300,187.0,130,info@primaskola.cz,,,,5,Mgr. Miroslava Gacková,2005-01-01,25219499.0
Církevní základní škola a mateřská škola Přemysla Pittra,Církevní ZŠ a MŠ Přemysla Pittra,044940998,00850381,B00,Základní škola,Moravskoslezský kraj,Ostrava-město,Ostrava,Havlíčkovo nábřeží 1835,70200,330.0,230,zs.pittra@email.cz,,,Biskupství ostravsko - opavské,6,"Ing. Martin Blatoň, Ph.D.",2005-01-01,3189660.0
Základní škola a Mateřská škola Sluníčko s.r.o.,Základní škola a MŠ Sluníčko s.r.o.,042962358,25366556,B00,Základní škola,Olomoucký kraj,Olomouc,Olomouc,Rooseveltova 109,77900,200.0,140,redi,,,,5,"Petr Pospíšil, M.A.",2005-01-01,25534173.0
Soukromá základní škola Acorn's & John's school s.r.o.,Soukr. ZŠ Acorn's & John's school s.r.o.,110009291,25366564,B00,Základní škola,Olomoucký kraj,Přerov,Přerov,Máchova 2216,75002,75.0,52,acorn.skoly@seznam.cz,,,,5,Markéta Jiskrová,2005-01-01,11234750.0
Základní škola Salvátor,Základní škola Salvátor,060042281,60042281,B00,Základní škola,Zlínský kraj,Vsetín,Valašské Meziříčí,Komenského 2,75701,230.0,161,skola@zs-salvator.cz,,,Arcibiskupství olomoucké,6,Ing. Hynek Mikušek,2005-01-01,25221159.0
Základní škola INTEGRA Vsetín,Základní škola INTEGRA,044159765,69211612,B00,Základní škola,Zlínský kraj,Vsetín,Vsetín,Na Rybníkách 1628,75501,200.0,140,,,,,5,Mgr. Jan Novotný,2005-01-01,24308579.0
"Základní škola Sedmikráska, o.p.s.","Základní škola Sedmikráska, o.p.s.",049582071,25853708,B00,Základní škola,Zlínský kraj,Vsetín,Rožnov pod Radhoštěm,Bezručova 293,75661,190.0,133,skola@sedmikraska.cz,,,,5,Mgr. Pavel Sumec,2005-01-01,17202329.0
"Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola","Gymnázium a Hudební škola hl.m.Prahy,ZUŠ",181033666,70874204,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Komenského náměstí 400,13000,310.0,217,petr.maslan@gmhs.cz,,,Hlavní město Praha,7,MgA. Filip Magram,2011-12-20,21770751.0
Obchodní akademie Dušní,Obchodní akademie Dušní,000638447,70837872,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Dušní 1083,11000,600.0,420,oadusni@oadusni.cz,,,Hlavní město Praha,7,Ing. Alena Kocourková,2005-01-01,21727392.0
"Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22",Gymnázium J.G.Jarkovského,060446218,60446218,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Truhlářská 1120,11000,480.0,336,info@truhla.cz,,,Hlavní město Praha,7,PhDr. Jitka Kendíková,2005-01-01,21709548.0
"Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3",SPŠ sdělovací techniky,061388866,61388866,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Malá Štupartská 977,11000,720.0,503,ruml@panska.cz,,,Hlavní město Praha,7,Ing. Luděk Šnajdar,2005-01-01,21726230.0
"Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22",VOŠ grafická a SPŠ grafická,000638595,70837783,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Hellichova 535,11800,330.0,230,vykydalova@hellichovka.cz,,,Hlavní město Praha,7,Ing. Radek Blahák,2005-01-01,21700281.0
"Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3","Gymnázium Jana Nerudy, škola hl.m. Prahy",110001656,70872767,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Hellichova 457,11800,880.0,616,wienerova@gjn.cz,,,Hlavní město Praha,7,PhDr. Zuzana Wienerová,2005-01-01,21699321.0
"Malostranské gymnázium, Praha 1, Josefská 7",Malostranské gymnázium,063109662,63109662,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Josefská 626,11800,480.0,336,reditelstvi@malgym.cz,,,Hlavní město Praha,7,Mgr. Tomáš Ledvinka,2005-01-01,21700796.0
"Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",VOŠ stavební a SPŠ stavební,061388726,61388726,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Dušní 900,11000,540.0,378,spsdusni@spsdusni.cz,,,Hlavní město Praha,7,PaedDr. Marie Plíhalová,2005-01-01,21725373.0
"Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9",VOŠ text.řem. a Stř.uměl.škola text.řem.,061387002,61387002,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,U Půjčovny 1274,11000,130.0,91,ivana.hyblova@textilniskola.cz,,,Hlavní město Praha,7,Ing. Ivana Hýblová,2005-01-01,21711011.0
"GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.","GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.",013094394,25119702,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Pštrossova 203,11000,200.0,140,info@gjp1.cz,,,,5,Mgr. Michal Musil,2005-01-01,21702900.0
"Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18",VOŠ a SPŠ dopravní,000638293,70837899,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Masná 1000,11000,780.0,546,ineman@spsdmasna.cz; hronova@spsdmasna.cz,,,Hlavní město Praha,7,Ing. Josef Ineman,2005-01-01,21726361.0
"Masarykova střední škola chemická, Praha 1, Křemencova 12",Masarykova střední škola chemická,000638307,70837902,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Křemencova 179,11000,420.0,294,kancelar@mssch.cz,,,Hlavní město Praha,7,Ing. Jiří Zajíček,2005-01-01,21702608.0
"Střední průmyslová škola strojnická, škola hlavního města Prahy, Praha 1, Betlémská 4/287","SPŠ strojnická, škola hl.m. Prahy",110032641,70872589,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Betlémská 287,11000,600.0,420,reditel@betlemska.cz,,,Hlavní město Praha,7,Mgr. Michal Prutyszyn,2005-01-01,21717940.0
"Gymnázium prof. Jana Patočky, Praha 1, Jindřišská 36",Gymnázium prof. Jana Patočky,060449004,60449004,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Jeruzalémská 1283,11000,660.0,461,info@gpjp.cz,,,Hlavní město Praha,7,Mgr. Jana Drake,2005-01-01,21711062.0
"Akademické gymnázium a Jazyková škola s právem státní jazykové zkoušky, školy hlavního města Prahy",Akad.gymnázium a jazyk.šk. s právem SJZ,110001630,70872503,C00,Střední škola,Hlavní město Praha,CZ0101,Praha,Štěpánská 614,11000,550.0,385,agstepanska@agstepanska.cz,,,Hlavní město Praha,7,PaedDr. Milan Štěrba,2005-01-01,21703922.0
"Gymnázium, Praha 2, Botičská 1",Gymnázium,000334677,61388106,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Botičská 424,12800,435.0,304,gybot@gybot.cz,,,Hlavní město Praha,7,Mgr. Stanislav Luňák,2005-01-01,21729476.0
"Hotelová škola, Praha 10, Vršovická 43",Hotelová škola,000638552,60461713,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Vršovická 564,10100,640.0,448,reditel@shs.cz,,,Hlavní město Praha,7,Mgr. Petr Vomela,2005-01-01,22660739.0
"Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8","Českoslovanská AO Dr. E. Beneše, SOŠ",000638463,00638463,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Resslova 1780,12000,1550.0,1085,cao8@cao8.cz,,,Hlavní město Praha,7,Ing. Dagmar Krutská,2005-01-01,21733899.0
Obchodní akademie Vinohradská,Obchodní akademie Vinohradská,000283762,61386774,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Vinohradská 1971,12000,725.0,507,milan.macek@oavin.cz,,,Hlavní město Praha,7,"RNDr. Milan Macek, CSc.",2005-01-01,21756431.0
"Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30",SPŠ elektrotechnická,000638374,61385301,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Ječná 517,12000,870.0,609,spsejecna@spsejecna.cz,,,Hlavní město Praha,7,"Ing. Bc. et Bc. Ondřej Mandík, Ing.Paed.IGIP",2005-01-01,21730776.0
Arcibiskupské gymnázium,Arcibiskupské gymnázium,044846738,44846738,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Korunní 586,12000,550.0,385,mrzilek@arcig.cz,,,Arcibiskupství pražské,6,PhDr. Mgr. Ondřej Mrzílek,2005-01-01,21745498.0
"Obchodní akademie, ŠKOLA 2000, s.r.o.","Obchodní akademie, ŠKOLA 2000, s.r.o.",110001664,25081012,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Ječná 517,12000,120.0,84,reditelka@dalkovestudium.cz,,,,5,Ing. Andrea Pospíšilová,2005-01-01,21730776.0
Gymnázium Duhovka s.r.o.,Gymnázium Duhovka s.r.o.,013818082,25107186,C00,Střední škola,Hlavní město Praha,CZ0107,Praha,Ortenovo náměstí 1275,17000,580.0,406,petr.gazdik@duhovkagymnazium.cz,,,,5,Mgr. Petr Gazdík,2005-01-01,22309233.0
"Českoslovanská akademie obchodní, střední odborná škola, Praha 2, Resslova 5","Českoslovanská AO, SOŠ",000638455,61386138,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Resslova 1940,12000,540.0,378,info@cao.cz,,,Hlavní město Praha,7,Mgr. Dagmar Blažková,2005-01-01,21735654.0
"Střední škola ekonomická se sportovním zaměřením, s.r.o.",SŠ ekonom. se sport. zaměřením s.r.o.,045268983,25127098,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Vinohradská 1971,12000,200.0,140,reditel@sses.cz,,,,5,Mgr. Tomáš Vytřísal,2005-01-01,21756431.0
"Střední průmyslová škola potravinářských technologií, Střední odborná škola přírodovědná a veterinární a Gymnázium, Praha 2, Podskalská 10, příspěvková organizace","SPŠ, SOŠ a G, Praha 2, Podskalská 10",000638366,61385930,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Podskalská 365,12800,1050.0,735,jakesova@podskalska.cz,,,Hlavní město Praha,7,Mgr. Václav Krámek,2005-01-01,21728801.0
Střední škola obchodní,Střední škola obchodní,000549185,00549185,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Belgická 250,12000,1200.0,840,sekretariat@ssob.cz,,,Hlavní město Praha,7,Ing. Ivo Krajíček,2005-01-01,21741859.0
Střední odborná škola sociální svaté Zdislavy,SOŠ sociální svaté Zdislavy,045768561,45768561,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Ječná 527,12000,270.0,189,info@sossjecna.cz,,,Česká provincie Kongregace Dcer Božské Lásky,6,PhDr. Patrik Burda,2005-01-01,21730946.0
"Gymnázium Karla Sladkovského, Praha 3, Sladkovského náměstí 8",Gymnázium Karla Sladkovského,000335410,61385131,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Sladkovského náměstí 900,13000,600.0,420,info@gykas.cz,,,Hlavní město Praha,7,Mgr. Tomáš Hušek,2005-01-01,21776059.0
"Obchodní akademie, Praha 3, Kubelíkova 37",Obchodní akademie,110002008,70107050,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Kubelíkova 1221,13000,528.0,369,barbora.smutna@oa-kubelikova.cz,,,Hlavní město Praha,7,Mgr. Barbora Smutná,2005-01-01,21779571.0
"Vyšší odborná škola uměleckoprůmyslová a Střední uměleckoprůmyslová škola, Praha 3, Žižkovo náměstí 1",VOŠ uměleckoprůmyslová a SUPŠ,000312835,61388025,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Žižkovo náměstí 1300,13000,397.0,277,info@sups.cz,,,Hlavní město Praha,7,Mgr. Pavel Kovářík,2005-01-01,21780463.0
"Gymnázium Na Pražačce, Praha 3, Nad Ohradou 23",Gymnázium Na Pražačce,000335398,60461675,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Nad Ohradou 2825,13000,600.0,420,kaspar@gymnazium-prazacka.cz,,,Hlavní město Praha,7,Mgr. Martin Kašpar,2005-01-01,25690388.0
"Vyšší odborná škola a Střední umělecká škola Václava Hollara, Praha 3, Hollarovo náměstí 2",VOŠ a Střední umělecká škola V. Hollara,000638609,61386871,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Hollarovo náměstí 2275,13000,140.0,98,reditel@hollarka.cz,,,Hlavní město Praha,7,Ak. mal. Bohumír Gemrot,2005-01-01,21765774.0
"Gymnázium, Praha 4, Písnická 760",Gymnázium,108029310,60444916,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Písnická 760,14200,400.0,280,info@gpisnicka.cz,,,Hlavní město Praha,7,Mgr. Bc. Julius Kolín,2005-01-01,21852952.0
"Gymnázium Elišky Krásnohorské, Praha 4 - Michle, Ohradní 55",Gymnázium Elišky Krásnohorské,000335533,00335533,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Ohradní 111,14000,510.0,357,skola@gekom.cz,,,Hlavní město Praha,7,Mgr. Martin Švejnoha,2005-01-01,21903492.0
"Střední průmyslová škola stavební Josefa Gočára, Praha 4, Družstevní ochoz 3",SPŠ stavební Josefa Gočára,000638358,49624059,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Družstevní ochoz 1659,14000,745.0,521,reditelka@spsgocar.cz,,,Hlavní město Praha,7,Ing. Martina Věžníková,2005-01-01,22706771.0
"Gymnázium, Praha 4, Postupická 3150",Gymnázium,000335606,60459085,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Postupická 3150,14100,650.0,454,postupicka@postupicka.cz,,,Hlavní město Praha,7,Mgr. Šárka Hurtlová,2005-01-01,26057930.0
"Střední odborné učiliště kadeřnické, Praha 8, Karlínské náměstí 8/225",Střední odborné učiliště kadeřnické,000639028,00639028,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Kafkova 1402,16000,570.0,399,sekretariat@souhair.cz,,,Hlavní město Praha,7,Mgr. Jan Cigánik,2005-01-01,22201441.0
"Gymnázium, Praha 4, Na Vítězné pláni 1160",Gymnázium,000335487,00335487,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Na Vítězné pláni 1160,14000,730.0,510,horyna@gvp.cz; imramop@gvp.cz,,,Hlavní město Praha,7,PhDr. Jaroslav Mervínský,2005-01-01,27536076.0
Gymnázium ALTIS s.r.o.,Gymnázium ALTIS s.r.o.,044809875,63672197,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Dopplerova 351,10900,550.0,385,vedeni@altis.cz,,,,5,Mgr. Bc. Jaroslava Fišerová,2005-01-01,27177114.0
"Gymnázium Evolution, s.r.o.","Gymnázium Evolution, s.r.o.",048109355,48109355,C00,Střední škola,Hlavní město Praha,CZ0102,Praha,Budečská 944,12000,712.0,498,jan.teply@gevo.cz,,,,5,Mgr. Jan Teplý,2005-01-01,21749086.0
"Akademie VŠEM - střední škola, s.r.o.","Akademie VŠEM - střední škola, s.r.o.",108029409,64574199,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Nárožní 2600,15800,495.0,346,akademie@vsem.cz,,,,5,"Ing. Kamila Tišlerová, Ph.D.",2005-01-01,27535878.0
"Gymnázium Opatov, Praha 4, Konstantinova 1500",Gymnázium Opatov,049366629,49366629,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Konstantinova 1500,14900,640.0,448,hovorkova@gopat.cz,,,Hlavní město Praha,7,RNDr. Jan Peřina,2005-01-01,21840539.0
